"Year.size","Plot","wregion","uniqueID","type","Year.planted","Year.sizeNext","Location.x","Row","Position","Pop","size","sizeNext","surv","fec1","fec2","fec3","flowering","n.germ.sam","PAR","sm.t1","N","light","wplot","habitat","stage","Age","Ph.ave","mat","mt.warm.month","mt.coldest","mt.apr","mt.may","days0may","days0april","days0","longdays0","gdd","mmp","mp.april","mp.may","mt.driest","n.droughts.gs","long.drought.gs","n.germ.1","n.germ.0","n.germ.surv.1","n.germ.surv.0"
2009,"AFA",4,"8531","field",2009,2010,"ME",5,3,"1",7.161039583,8.928370592,1,NA,NA,NA,0,NA,0.254913880381318,0.172645236789259,-0.457519445436837,1.41527853372976,8,1,"continuous",1,-0.00599938156816153,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"8651","field",2009,2010,"ME",6,5,"1",7.660923072,8.197451045,1,NA,NA,NA,0,NA,0.623245167584561,0.172645236789259,-0.457519445436837,1.41527853372976,8,1,"continuous",1,-0.00599938156816153,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"8421","field",2009,2010,"ME",4,2,"1",7.521563231,8.433017117,1,NA,NA,NA,0,NA,0.0830259463531376,0.172645236789259,-0.457519445436837,1.41527853372976,8,1,"continuous",1,-0.00599938156816153,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"8171","field",2009,2010,"ME",1,7,"1",8.655468387,6.781526513,1,NA,NA,NA,0,NA,0.132136784646903,0.172645236789259,-0.457519445436837,1.41527853372976,8,1,"continuous",1,-0.00599938156816153,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"8111","field",2009,2010,"ME",1,1,"1",7.913510523,8.713109264,1,NA,NA,NA,0,NA,0.746022263318976,0.172645236789259,-0.457519445436837,1.41527853372976,8,1,"continuous",1,-0.00599938156816153,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"8261","field",2009,2010,"ME",2,6,"1",7.43734026,7.085558927,1,NA,NA,NA,0,NA,0.475912652703264,0.172645236789259,-0.457519445436837,1.41527853372976,8,1,"continuous",1,-0.00599938156816153,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"8341","field",2009,2010,"ME",3,4,"1",7.896489143,6.840354283,1,NA,NA,NA,0,NA,0.107581365500021,0.172645236789259,-0.457519445436837,1.41527853372976,8,1,"continuous",1,-0.00599938156816153,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"9171","field",2009,2010,"ME",1,7,"1",8.044705088,NA,0,NA,NA,NA,0,NA,-0.653636628053349,-0.402923409931906,-0.0759553990889777,-0.122940531240778,9,0,"continuous",1,-0.42001730958512,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"9111","field",2009,2010,"ME",1,1,"1",8.255426119,NA,0,NA,NA,NA,0,NA,-0.653636628053349,-0.402923409931906,-0.0759553990889777,-0.122940531240778,9,0,"continuous",1,-0.42001730958512,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"9241","field",2009,2010,"ME",2,4,"1",8.107210175,NA,0,NA,NA,NA,0,NA,-0.653636628053349,-0.402923409931906,-0.0759553990889777,-0.122940531240778,9,0,"continuous",1,-0.42001730958512,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
