"Year.size","Plot","wregion","type","Year.size.next","Age","Year.planted","Location.x","Row","Position","Pop","unique.ID","size","sizeNext","surv","fec1","fec2","fec3","flowering","n.germ.sam","PAR","N","sm.t1","wplot","habitat","light","Stage","Ph.ave","lat","long","mat","mt.warm.month","mt.coldest","mt.apr","mt.may","days0may","days0april","days0","longdays0","gdd","mmp","mp.april","mp.may","mt.driest","n.droughts.gs","long.drought.gs","n.germ.1","n.germ.0","n.germ.surv.1","n.germ.surv.0"
2009,"AFA",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,12.09105712,10.00096344,1,NA,NA,NA,0,NA,0.941483438177704,-0.4872905183391,-0.280835960343519,8,1,1.88370958958948,"continuous",0.0546887654321413,46.661061,-68.027296,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,13.79975268,11.9813702,1,NA,NA,NA,0,NA,0.281603740132964,-0.4872905183391,-0.280835960343519,8,1,1.88370958958948,"continuous",0.0546887654321413,46.661061,-68.027296,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,12.25743428,NA,0,NA,NA,NA,NA,NA,0.321596449105372,-0.4872905183391,0.107116363139745,8,1,NA,"continuous",0.0546887654321413,46.661061,-68.027296,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,10.96770196,11.00192805,1,NA,NA,NA,0,NA,0.561552702939823,-0.4872905183391,-0.280835960343519,8,1,1.88370958958948,"continuous",0.0546887654321413,46.661061,-68.027296,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,11.23578303,12.52258277,1,NA,NA,NA,0,NA,0.401581867050189,-0.4872905183391,-0.280835960343519,8,1,1.88370958958948,"continuous",0.0546887654321413,46.661061,-68.027296,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,11.6158014,NA,0,NA,NA,NA,NA,NA,0.281603740132964,-0.4872905183391,0.107116363139745,8,1,NA,"continuous",0.0546887654321413,46.661061,-68.027296,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,13.10966087,NA,0,NA,NA,NA,NA,NA,0.561552702939823,-0.4872905183391,0.107116363139745,8,1,NA,"continuous",0.0546887654321413,46.661061,-68.027296,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,13.06272038,13.89568985,1,NA,NA,NA,0,NA,-0.53824679380141,-0.103855237769727,-0.573697553159946,9,0,0.188091984322413,"continuous",-0.349127462869596,46.661095,-68.026811,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,12.56059364,10.5059119,1,NA,NA,NA,0,NA,-0.498254084829002,-0.103855237769727,-0.573697553159946,9,0,0.188091984322413,"continuous",-0.349127462869596,46.661095,-68.026811,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"field.obs",2010,1,2009,"ME",NA,NA,NA,NA,12.37853651,NA,0,NA,NA,NA,NA,NA,-0.53824679380141,-0.103855237769727,-0.636198503340452,9,0,NA,"continuous",-0.349127462869596,46.661095,-68.026811,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
